video,frame,label,split
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0000.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0001.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0002.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0003.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0004.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0005.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0006.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0007.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0008.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0009.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0010.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0011.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0012.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0013.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0014.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0015.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0016.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0017.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0018.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0019.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0020.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0021.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0022.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0023.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0024.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0025.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0026.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0027.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0028.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0029.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0030.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0031.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0032.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0033.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0034.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0035.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0036.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0037.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0038.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0039.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0040.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0041.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0042.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0043.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0044.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0045.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0046.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0047.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0048.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0049.npy,pre-deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0050.npy,deboarding,test
trajs_2017-03-09_Ut_3062_door_3,trajs_2017-03-09_Ut_3062_door_3-0051.npy,deboarding,test
